price,address,beds,baths,parking,type,sold_date
"$520,000","49 Guernsey Street, 
SCONE NSW 2337",4,2,1,House,21-Aug-24
"$1,083,000","19 Pritchard Avenue, 
HAMMONDVILLE NSW 2170",3,1,2,House,20-Aug-24
"$1,055,000","31 Sligar Avenue, 
HAMMONDVILLE NSW 2170",4,1,2,House,19-Aug-24
"$630,000","12 Towarri Street, 
SCONE NSW 2337",3,1,1,House,19-Aug-24
"$1,725,000","9 Argo Place, 
MIRANDA NSW 2228",4,2,2,House,16-Aug-24
"$1,750,000","252b Sylvania Road, 
MIRANDA NSW 2228",4,2,3,Semi-detached,16-Aug-24
"$920,000","39 Redbank Drive, 
SCONE NSW 2337",5,3,6,House,16-Aug-24
"$665,000","202/59 Miranda Road, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,15-Aug-24
"$780,000","27/12-14 Clubb Crescent, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,15-Aug-24
"$1,625,000","350 Gundy Road, 
SCONE NSW 2337",NA,NA,NA,Rural,15-Aug-24
"$542,000","33 Oxford Road, 
SCONE NSW 2337",4,3,1,House,15-Aug-24
"$1,499,000","2/8 Macartney Street, 
MIRANDA NSW 2228",3,2,2,Villa,14-Aug-24
"$800,000","2/12-14 Clubb Crescent, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,14-Aug-24
"$570,000","5A Nyarra Street, 
SCONE NSW 2337",4,2,3,House,14-Aug-24
"$590,000","67 Satur Road, 
SCONE NSW 2337",3,1,6,House,14-Aug-24
"$481,500","38 Philip Street, 
SCONE NSW 2337",3,1,2,House,14-Aug-24
"$520,000","17 Smith Street, 
SCONE NSW 2337",4,2,1,House,12-Aug-24
"$910,000","95 Hill Street, 
SCONE NSW 2337",4,2,6,House,12-Aug-24
"$915,000","207/6 Urunga Parade, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,9-Aug-24
"$990,000","26/36 Wandella Road, 
MIRANDA NSW 2228",3,2,2,Apartment / Unit / Flat,8-Aug-24
"$685,000","402/1 Urunga Parade, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,8-Aug-24
"$1,100,000","2091 Bunnan Road., 
SCONE NSW 2337",NA,NA,NA,Acreage / Semi-rural,8-Aug-24
"$1,150,000","13/8-14 Gibbs Street, 
MIRANDA NSW 2228",3,2,2,Apartment / Unit / Flat,7-Aug-24
"$1,520,000","121 Sylvania Road, 
MIRANDA NSW 2228",2,1,2,House,7-Aug-24
"$2,250,000","27 Carramar Crescent, 
MIRANDA NSW 2228",5,2,2,House,7-Aug-24
"$370,000","Lot 92, Allan Cunningham Road, 
SCONE NSW 2337",NA,NA,NA,Vacant land,7-Aug-24
"$1,005,000","403/63 Miranda Road, 
MIRANDA NSW 2228",3,2,2,Apartment / Unit / Flat,6-Aug-24
"$899,000","1 Bhima Drive, 
SCONE NSW 2337",4,2,4,House,5-Aug-24
"$2,080,000","21 Parkview Street, 
MIRANDA NSW 2228",3,2,2,House,2-Aug-24
"$1,390,000","2/201 Parraweena Road, 
MIRANDA NSW 2228",3,1,2,Townhouse,1-Aug-24
"$721,000","24/9-15 Willock Avenue, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,1-Aug-24
"$480,000","22 Birrell Street, 
SCONE NSW 2337",3,1,2,House,1-Aug-24
"$545,000","88 Park Street, 
SCONE NSW 2337",4,1,1,House,1-Aug-24
"$590,000","50 Barton Street, 
SCONE NSW 2337",6,2,1,House,31-Jul-24
"$1,531,000","13 Meldrum Avenue, 
MIRANDA NSW 2228",3,1,2,House,30-Jul-24
"$1,980,000","112a Wyralla Road, 
MIRANDA NSW 2228",5,3,2,House,29-Jul-24
"$775,000","16/28-30 Urunga Parade, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,26-Jul-24
"$595,000","61F/5-29 Wandella Road, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,26-Jul-24
"$460,000","5 Koala Street, 
SCONE NSW 2337",3,1,1,House,26-Jul-24
"$925,000","54/8-14 Willock Avenue, 
MIRANDA NSW 2228",3,2,2,Apartment / Unit / Flat,25-Jul-24
"$1,429,000","2/7 Pinnacle Street, 
MIRANDA NSW 2228",3,2,2,Semi-detached,24-Jul-24
"$750,000","55/474-482 Kingsway, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,24-Jul-24
"$1,675,000","15 Queanbeyan Avenue, 
MIRANDA NSW 2228",4,1,1,House,23-Jul-24
